step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.000100,49813.084437,-99875.232895,-50062.148458,0.000000e+00,0.000000,0.000000,0.000000,0.002,0.830,0.000
2,0.000200,49813.087414,-99875.229918,-50062.142503,1.189566e-07,0.000000,0.000000,0.000000,0.001,0.277,0.001
3,0.000300,49813.085646,-99875.234456,-50062.148810,7.018761e-09,0.000000,0.000000,0.000000,0.002,0.226,0.000
4,0.000400,49813.085863,-99875.237009,-50062.151146,5.368977e-08,0.000000,0.000000,0.000000,0.000,0.647,0.000
5,0.000500,49813.088065,-99875.237578,-50062.149513,2.105637e-08,0.000000,0.000000,0.000000,0.000,0.219,0.000
6,0.000600,49813.092252,-99875.236161,-50062.143909,9.088136e-08,0.000000,0.000000,0.000000,0.001,0.064,0.000
7,0.000700,49813.091693,-99875.232759,-50062.141066,1.476731e-07,0.000000,0.000000,0.000000,0.000,0.072,0.000
8,0.000800,49813.093120,-99875.236873,-50062.143753,9.398331e-08,0.000000,0.000000,0.000000,0.000,0.060,0.000
9,0.000900,49813.096531,-99875.239002,-50062.142471,1.195977e-07,0.000000,0.000000,0.000000,0.001,0.181,0.000
10,0.001000,49813.095197,-99875.239146,-50062.143949,9.006622e-08,0.000000,0.000000,0.000000,0.000,0.077,0.000
11,0.001100,49813.095847,-99875.237305,-50062.141458,1.398391e-07,0.000000,0.000000,0.000000,0.002,0.314,0.000
12,0.001200,49813.098483,-99875.242980,-50062.144497,7.913007e-08,0.000000,0.000000,0.000000,0.001,0.080,0.000
13,0.001300,49813.096373,-99875.246670,-50062.150297,3.672521e-08,0.000000,0.000000,0.000000,0.001,0.071,0.000
14,0.001400,49813.096248,-99875.248375,-50062.152127,7.327607e-08,0.000000,0.000000,0.000000,0.000,0.068,0.000
15,0.001500,49813.098108,-99875.248094,-50062.149986,3.052249e-08,0.000000,0.000000,0.000000,0.000,0.071,0.000
16,0.001600,49813.101953,-99875.245829,-50062.143876,9.153552e-08,0.000000,0.000000,0.000000,0.000,0.097,0.000
17,0.001700,49813.101052,-99875.251080,-50062.150027,3.133760e-08,0.000000,0.000000,0.000000,0.000,0.069,0.000
18,0.001800,49813.102137,-99875.254345,-50062.152208,7.490703e-08,0.000000,0.000000,0.000000,0.000,0.062,0.000
19,0.001900,49813.105206,-99875.255626,-50062.150419,3.917332e-08,0.000000,0.000000,0.000000,0.001,0.265,0.001
20,0.002000,49813.103530,-99875.254921,-50062.151391,5.858519e-08,0.000000,0.000000,0.000000,0.000,0.274,0.001
21,0.002100,49813.103839,-99875.252232,-50062.148393,1.306346e-09,0.000000,0.000000,0.000000,0.000,0.077,0.000
22,0.002200,49813.106132,-99875.257058,-50062.150926,4.928284e-08,0.000000,0.000000,0.000000,0.000,0.081,0.000
23,0.002300,49813.110411,-99875.259899,-50062.149488,2.056747e-08,0.000000,0.000000,0.000000,0.000,0.076,0.000
24,0.002400,49813.109944,-99875.260755,-50062.150811,4.699906e-08,0.000000,0.000000,0.000000,0.000,0.084,0.000
25,0.002500,49813.111462,-99875.259627,-50062.148164,5.873872e-09,0.000000,0.000000,0.000000,0.000,0.062,0.000
26,0.002600,49813.114965,-99875.256513,-50062.141547,1.380486e-07,0.000000,0.000000,0.000000,0.000,0.067,0.000
27,0.002700,49813.113723,-99875.260915,-50062.147192,2.529348e-08,0.000000,0.000000,0.000000,0.001,0.094,0.000
28,0.002800,49813.114465,-99875.263332,-50062.148867,8.159079e-09,0.000000,0.000000,0.000000,0.000,0.082,0.000
29,0.002900,49813.117193,-99875.263764,-50062.146571,3.769287e-08,0.000000,0.000000,0.000000,0.001,0.089,0.000
30,0.003000,49813.115174,-99875.262211,-50062.147037,2.840002e-08,0.000000,0.000000,0.000000,0.000,0.068,0.000
31,0.003100,49813.115141,-99875.258673,-50062.143532,9.840629e-08,0.000000,0.000000,0.000000,0.000,0.073,0.000
32,0.003200,49813.117093,-99875.262651,-50062.145558,5.793276e-08,0.000000,0.000000,0.000000,0.000,0.070,0.000
33,0.003300,49813.121030,-99875.264644,-50062.143614,9.676132e-08,0.000000,0.000000,0.000000,0.000,0.064,0.000
34,0.003400,49813.120221,-99875.264652,-50062.144431,8.044530e-08,0.000000,0.000000,0.000000,0.000,0.059,0.000
35,0.003500,49813.121397,-99875.262675,-50062.141278,1.434302e-07,0.000000,0.000000,0.000000,0.000,0.061,0.000
36,0.003600,49813.124558,-99875.268213,-50062.143656,9.593582e-08,0.000000,0.000000,0.000000,0.000,0.055,0.000
37,0.003700,49813.122973,-99875.271767,-50062.148794,6.702606e-09,0.000000,0.000000,0.000000,0.001,0.110,0.000
38,0.003800,49813.123374,-99875.273336,-50062.149962,3.004019e-08,0.000000,0.000000,0.000000,0.000,0.082,0.000
39,0.003900,49813.125759,-99875.272920,-50062.147161,2.592107e-08,0.000000,0.000000,0.000000,0.000,0.062,0.000
40,0.004000,49813.123399,-99875.270518,-50062.147120,2.673828e-08,0.000000,0.000000,0.000000,0.000,0.064,0.000
41,0.004100,49813.123023,-99875.275633,-50062.152610,8.292290e-08,0.000000,0.000000,0.000000,0.001,0.156,0.000
42,0.004200,49813.124633,-99875.278763,-50062.154130,1.132836e-07,0.000000,0.000000,0.000000,0.000,0.069,0.000
43,0.004300,49813.128228,-99875.279907,-50062.151680,6.434610e-08,0.000000,0.000000,0.000000,0.000,0.055,0.000
44,0.004400,49813.127076,-99875.279067,-50062.151990,7.055216e-08,0.000000,0.000000,0.000000,0.000,0.055,0.000
45,0.004500,49813.127910,-99875.276241,-50062.148331,2.541634e-09,0.000000,0.000000,0.000000,0.000,0.046,0.000
46,0.004600,49813.130729,-99875.280932,-50062.150202,3.483750e-08,0.000000,0.000000,0.000000,0.000,0.083,0.000
47,0.004700,49813.128803,-99875.283637,-50062.154835,1.273691e-07,0.000000,0.000000,0.000000,0.000,0.070,0.000
48,0.004800,49813.128861,-99875.284358,-50062.155497,1.406032e-07,0.000000,0.000000,0.000000,0.000,0.051,0.000
49,0.004900,49813.130904,-99875.283093,-50062.152190,7.453271e-08,0.000000,0.000000,0.000000,0.000,0.052,0.000
50,0.005000,49813.134932,-99875.279844,-50062.144912,7.084218e-08,0.000000,0.000000,0.000000,0.000,0.053,0.000
51,0.005100,49813.134215,-99875.284110,-50062.149896,2.870675e-08,0.000000,0.000000,0.000000,0.000,0.084,0.000
52,0.005200,49813.135522,-99875.286392,-50062.150870,4.817505e-08,0.000000,0.000000,0.000000,0.000,0.058,0.000
53,0.005300,49813.138775,-99875.286688,-50062.147914,1.088217e-08,0.000000,0.000000,0.000000,0.000,0.056,0.000
54,0.005400,49813.137282,-99875.285000,-50062.147718,1.479714e-08,0.000000,0.000000,0.000000,0.000,0.076,0.000
55,0.005500,49813.137774,-99875.281326,-50062.143552,9.800861e-08,0.000000,0.000000,0.000000,0.000,0.053,0.000
56,0.005600,49813.140252,-99875.285169,-50062.144917,7.074424e-08,0.000000,0.000000,0.000000,0.000,0.058,0.000
57,0.005700,49813.137983,-99875.287026,-50062.149043,1.167348e-08,0.000000,0.000000,0.000000,0.000,0.054,0.000
58,0.005800,49813.137700,-99875.286899,-50062.149199,1.478652e-08,0.000000,0.000000,0.000000,0.000,0.058,0.000
59,0.005900,49813.139402,-99875.284786,-50062.145385,6.139634e-08,0.000000,0.000000,0.000000,0.000,0.075,0.000
60,0.006000,49813.143088,-99875.290190,-50062.147101,2.710425e-08,0.000000,0.000000,0.000000,0.000,0.116,0.000
61,0.006100,49813.142029,-99875.293608,-50062.151579,6.234137e-08,0.000000,0.000000,0.000000,0.000,0.051,0.000
62,0.006200,49813.142955,-99875.295042,-50062.152087,7.249146e-08,0.000000,0.000000,0.000000,0.000,0.068,0.000
63,0.006300,49813.145866,-99875.294491,-50062.148625,3.327769e-09,0.000000,0.000000,0.000000,0.000,0.049,0.000
64,0.006400,49813.144031,-99875.291954,-50062.147923,1.068609e-08,0.000000,0.000000,0.000000,0.000,0.070,0.000
65,0.006500,49813.144181,-99875.296933,-50062.152752,8.577346e-08,0.000000,0.000000,0.000000,0.000,0.057,0.000
66,0.006600,49813.146366,-99875.299928,-50062.153562,1.019434e-07,0.000000,0.000000,0.000000,0.000,0.065,0.000
67,0.006700,49813.150486,-99875.300938,-50062.150451,3.981143e-08,0.000000,0.000000,0.000000,0.000,0.058,0.000
68,0.006800,49813.149861,-99875.299962,-50062.150101,3.281956e-08,0.000000,0.000000,0.000000,0.000,0.072,0.000
69,0.006900,49813.151221,-99875.297002,-50062.145781,5.347691e-08,0.000000,0.000000,0.000000,0.000,0.068,0.000
70,0.007000,49813.154565,-99875.301558,-50062.146992,2.928642e-08,0.000000,0.000000,0.000000,0.000,0.073,0.000
71,0.007100,49813.153165,-99875.304128,-50062.150964,5.004317e-08,0.000000,0.000000,0.000000,0.000,0.052,0.000
72,0.007200,49813.153748,-99875.304714,-50062.150966,5.008903e-08,0.000000,0.000000,0.000000,0.001,0.132,0.000
73,0.007300,49813.156316,-99875.303315,-50062.146999,2.915433e-08,0.000000,0.000000,0.000000,0.000,0.057,0.000
74,0.007400,49813.154139,-99875.299932,-50062.145792,5.325853e-08,0.000000,0.000000,0.000000,0.000,0.058,0.000
75,0.007500,49813.153947,-99875.304063,-50062.150116,3.310836e-08,0.000000,0.000000,0.000000,0.000,0.071,0.000
76,0.007600,49813.155741,-99875.306210,-50062.150469,4.017023e-08,0.000000,0.000000,0.000000,0.000,0.054,0.000
77,0.007700,49813.159518,-99875.306372,-50062.146855,3.203399e-08,0.000000,0.000000,0.000000,0.000,0.053,0.000
78,0.007800,49813.158549,-99875.304550,-50062.146000,4.909980e-08,0.000000,0.000000,0.000000,0.000,0.051,0.000
79,0.007900,49813.159566,-99875.310242,-50062.150676,4.430437e-08,0.000000,0.000000,0.000000,0.000,0.073,0.000
80,0.008000,49813.162568,-99875.313951,-50062.151383,5.842026e-08,0.000000,0.000000,0.000000,0.000,0.047,0.000
81,0.008100,49813.160824,-99875.315674,-50062.154850,1.276733e-07,0.000000,0.000000,0.000000,0.000,0.057,0.000
82,0.008200,49813.161065,-99875.315413,-50062.154348,1.176457e-07,0.000000,0.000000,0.000000,0.000,0.056,0.000
83,0.008300,49813.163290,-99875.313166,-50062.149876,2.831355e-08,0.000000,0.000000,0.000000,0.000,0.059,0.000
84,0.008400,49813.167501,-99875.318435,-50062.150935,4.946747e-08,0.000000,0.000000,0.000000,0.000,0.057,0.000
85,0.008500,49813.166966,-99875.321720,-50062.154754,1.257576e-07,0.000000,0.000000,0.000000,0.000,0.086,0.000
