step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,49813.081735,-99875.229645,-50062.147910,0.000000e+00,0.000000,0.000000,0.000000,0.000,0.523,0.008
2,0.002000,49813.083337,-99875.226418,-50062.143081,9.646846e-08,0.000000,0.000000,0.000000,0.000,0.092,0.030
3,0.003000,49813.088250,-99875.224206,-50062.135956,2.387756e-07,0.000000,0.000000,0.000000,0.000,0.072,0.033
4,0.004000,49813.089742,-99875.223012,-50062.133270,2.924306e-07,0.000000,0.000000,0.000000,0.000,0.064,0.027
5,0.005000,49813.087812,-99875.222837,-50062.135025,2.573853e-07,0.000000,0.000000,0.000000,0.000,0.052,0.027
6,0.006000,49813.089189,-99875.223681,-50062.134493,2.680182e-07,0.000000,0.000000,0.000000,0.000,0.055,0.019
7,0.007000,49813.093870,-99875.225548,-50062.131678,3.242326e-07,0.000000,0.000000,0.000000,0.000,0.058,0.025
8,0.008000,49813.095122,-99875.228440,-50062.133318,2.914844e-07,0.000000,0.000000,0.000000,0.000,0.041,0.024
9,0.009000,49813.092943,-99875.232360,-50062.139417,1.696536e-07,0.000000,0.000000,0.000000,0.000,0.037,0.019
10,0.010000,49813.094059,-99875.227811,-50062.133752,2.828191e-07,0.000000,0.000000,0.000000,0.000,0.042,0.021
11,0.011000,49813.098467,-99875.224298,-50062.125831,4.410373e-07,0.000000,0.000000,0.000000,0.000,0.051,0.026
12,0.012000,49813.099432,-99875.221822,-50062.122390,5.097709e-07,0.000000,0.000000,0.000000,0.000,0.041,0.019
13,0.013000,49813.096952,-99875.220391,-50062.123439,4.888212e-07,0.000000,0.000000,0.000000,0.000,0.048,0.026
14,0.014000,49813.097751,-99875.220009,-50062.122258,5.124054e-07,0.000000,0.000000,0.000000,0.000,0.048,0.025
15,0.015000,49813.101822,-99875.220681,-50062.118859,5.803027e-07,0.000000,0.000000,0.000000,0.000,0.043,0.023
16,0.016000,49813.102429,-99875.222411,-50062.119981,5.578866e-07,0.000000,0.000000,0.000000,0.000,0.037,0.018
17,0.017000,49813.099570,-99875.225205,-50062.125635,4.449496e-07,0.000000,0.000000,0.000000,0.000,0.045,0.029
18,0.018000,49813.099963,-99875.229075,-50062.129112,3.755008e-07,0.000000,0.000000,0.000000,0.000,0.037,0.018
