step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.010000,49815.564788,-99875.236662,-50059.671874,0.000000e+00,-0.000402,0.000000,0.000000,1.849,0.445,0.008
2,0.020000,49815.564788,-99855.393614,-50039.828827,3.963879e-04,-0.001207,0.000000,0.000000,0.135,0.073,0.046
3,0.030000,49815.564787,-99815.740207,-50000.175419,1.188511e-03,-0.002008,0.000000,0.000000,0.099,0.145,0.033
4,0.040000,49815.564787,-99756.347190,-49940.782402,2.374955e-03,-0.002805,0.000000,0.000000,0.086,0.049,0.029
5,0.050000,49815.564787,-99677.320231,-49861.755444,3.953610e-03,-0.003599,0.000000,0.000000,0.090,0.050,0.031
6,0.060000,49815.564787,-99578.799454,-49763.234667,5.921677e-03,-0.004388,0.000000,0.000000,0.255,0.065,0.081
7,0.070000,49815.564787,-99460.958699,-49645.393912,8.275683e-03,-0.005178,0.000000,0.000000,0.265,0.272,0.030
8,0.080000,49815.564787,-99324.004695,-49508.439908,1.101150e-02,-0.005968,0.000000,0.000000,0.092,0.050,0.029
9,0.090000,49815.564787,-99168.176060,-49352.611273,1.412436e-02,-0.006754,0.000000,0.000000,0.091,0.648,0.030
10,0.100000,49815.564787,-98993.742165,-49178.177378,1.760887e-02,-0.007533,0.000000,0.000000,0.093,0.052,0.032
11,0.110000,49815.564787,-98801.001859,-48985.437072,2.145909e-02,-0.008307,0.000000,0.000000,0.120,0.101,0.144
12,0.120000,49815.564786,-98590.282084,-48774.717297,2.566846e-02,-0.009079,0.000000,0.000000,0.147,0.050,0.038
13,0.130000,49815.564786,-98361.936375,-48546.371589,3.022993e-02,-0.009842,0.000000,0.000000,0.077,0.047,0.026
14,0.140000,49815.564786,-98116.343270,-48300.778484,3.513594e-02,-0.010602,0.000000,0.000000,0.107,0.045,0.026
15,0.150000,49815.564786,-97853.904633,-48038.339847,4.037845e-02,-0.011358,0.000000,0.000000,0.125,0.055,0.034
16,0.160000,49815.564786,-97575.044168,-47759.479382,4.594901e-02,-0.012107,0.000000,0.000000,0.216,0.089,0.024
