step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.000050,744238.769051,-1466431.810572,-722193.041522,0.000000e+00,-1140.196173,589.444860,581.103579,34.832,2.149,0.028
2,0.000100,744238.769050,-1466431.092439,-722192.323389,9.943779e-07,-1140.196173,589.444860,581.103578,1.755,0.382,0.069
3,0.000150,744238.769050,-1466430.338048,-722191.568997,2.038963e-06,-1140.196173,589.444860,581.103578,14.976,1.197,0.084
4,0.000200,744238.769050,-1466429.547407,-722190.778356,3.133740e-06,-1140.196173,589.444860,581.103577,0.983,33.827,0.065
5,0.000250,744238.769050,-1466428.720518,-722189.951468,4.278709e-06,-1140.196173,589.444860,581.103576,6.387,1.039,0.053
6,0.000300,744238.769050,-1466427.857391,-722189.088340,5.473857e-06,-1140.196173,589.444860,581.103576,5.514,0.621,0.951
7,0.000350,744238.769050,-1466426.958012,-722188.188961,6.719201e-06,-1140.196173,589.444860,581.103575,0.968,19.475,0.062
8,0.000400,744238.769050,-1466426.022384,-722187.253333,8.014738e-06,-1140.196173,589.444860,581.103575,0.908,0.904,0.042
9,0.000450,744238.769050,-1466425.050512,-722186.281462,9.360461e-06,-1140.196173,589.444860,581.103574,0.992,1.592,0.048
10,0.000500,744238.769050,-1466424.042397,-722185.273346,1.075637e-05,-1140.196173,589.444860,581.103574,1.043,1.401,0.045
11,0.000550,744238.769050,-1466422.998009,-722184.228958,1.220250e-05,-1140.196173,589.444860,581.103573,0.922,0.174,0.046
12,0.000600,744238.769050,-1466421.917369,-722183.148319,1.369883e-05,-1140.196173,589.444860,581.103573,0.917,0.927,0.047
13,0.000650,744238.769050,-1466420.800467,-722182.031416,1.524538e-05,-1140.196173,589.444860,581.103572,0.902,0.225,0.032
14,0.000700,744238.769050,-1466419.647287,-722180.878237,1.684215e-05,-1140.196173,589.444860,581.103571,0.927,16.337,0.045
15,0.000750,744238.769050,-1466418.457847,-722179.688797,1.848914e-05,-1140.196173,589.444860,581.103571,0.989,0.182,0.049
16,0.000800,744238.769050,-1466417.232158,-722178.463107,2.018631e-05,-1140.196173,589.444861,581.103570,1.313,0.185,0.048
17,0.000850,744238.769050,-1466415.970214,-722177.201164,2.193369e-05,-1140.196173,589.444861,581.103570,0.972,7.445,0.046
18,0.000900,744238.769050,-1466414.672008,-722175.902957,2.373128e-05,-1140.196173,589.444861,581.103569,0.936,20.679,0.042
19,0.000950,744238.769050,-1466413.337550,-722174.568499,2.557906e-05,-1140.196173,589.444861,581.103569,0.938,25.522,0.093
20,0.001000,744238.769050,-1466411.966843,-722173.197793,2.747704e-05,-1140.196173,589.444861,581.103568,32.080,15.962,0.049
21,0.001050,744238.769050,-1466410.559889,-722171.790839,2.942521e-05,-1140.196173,589.444861,581.103568,0.903,9.531,0.043
22,0.001100,744238.769050,-1466409.116668,-722170.347618,3.142360e-05,-1140.196173,589.444861,581.103567,0.918,0.251,0.048
23,0.001150,744238.769050,-1466407.637172,-722168.868122,3.347221e-05,-1140.196173,589.444861,581.103566,0.960,0.183,0.050
24,0.001200,744238.769050,-1466406.121414,-722167.352364,3.557104e-05,-1140.196173,589.444861,581.103566,3.054,4.417,0.068
25,0.001250,744238.769050,-1466404.569383,-722165.800333,3.772009e-05,-1140.196173,589.444861,581.103565,1.038,1.623,0.054
26,0.001300,744238.769050,-1466402.981127,-722164.212076,3.991931e-05,-1140.196173,589.444861,581.103565,0.931,5.741,0.048
27,0.001350,744238.769050,-1466401.356615,-722162.587565,4.216872e-05,-1140.196173,589.444861,581.103564,2.162,1.666,0.131
28,0.001400,744238.769050,-1466399.695876,-722160.926825,4.446830e-05,-1140.196173,589.444861,581.103564,1.426,54.483,0.082
29,0.001450,744238.769050,-1466397.998870,-722159.229820,4.681809e-05,-1140.196173,589.444861,581.103563,2.048,0.400,0.047
