step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744229.471593,-1466425.556051,-722196.084458,0.000000e+00,-1140.121254,589.390149,581.198552,0.661,0.682,7.568
2,0.002000,744218.443267,-1466418.062089,-722199.618822,4.893912e-06,-1140.107204,589.346973,581.333651,0.727,0.378,42.222
3,0.003000,744207.280985,-1466410.010053,-722202.729068,9.200562e-06,-1140.018060,589.298588,581.476768,1.525,0.774,34.872
4,0.004000,744196.865573,-1466401.411962,-722204.546389,1.171694e-05,-1139.901612,589.228371,581.623109,0.598,9.529,5.253
5,0.005000,744185.439723,-1466392.278328,-722206.838605,1.489090e-05,-1139.757966,589.165886,581.737833,0.581,0.178,3.533
6,0.006000,744173.289526,-1466382.619238,-722209.329712,1.834025e-05,-1139.647203,589.169872,581.804794,0.574,0.182,3.579
7,0.007000,744161.603935,-1466372.441634,-722210.837699,2.042830e-05,-1139.599811,589.231820,581.851306,0.588,0.184,3.622
8,0.008000,744149.370655,-1466361.764681,-722212.394026,2.258330e-05,-1139.486848,589.301037,581.913281,1.338,0.177,3.570
9,0.009000,744135.733201,-1466350.617797,-722214.884596,2.603190e-05,-1139.369293,589.387595,582.011900,0.581,0.205,3.558
10,0.010000,744119.727556,-1466339.038396,-722219.310840,3.216077e-05,-1139.249083,589.492059,582.024924,0.578,0.180,3.539
11,0.011000,744103.845192,-1466327.068771,-722223.223579,3.757860e-05,-1139.135638,589.594059,582.055240,0.576,0.169,3.526
12,0.012000,744087.641374,-1466314.754098,-722227.112725,4.296377e-05,-1139.021538,589.674015,582.068848,0.582,0.208,3.777
13,0.013000,744072.748713,-1466302.147305,-722229.398592,4.612893e-05,-1138.818097,589.804065,582.062611,0.582,6.605,6.889
14,0.014000,744058.221841,-1466289.293453,-722231.071611,4.844550e-05,-1138.686205,589.918982,581.974364,0.577,0.165,3.559
15,0.015000,744043.095948,-1466276.225756,-722233.129808,5.129542e-05,-1138.508011,589.960910,581.756432,0.582,0.182,5.024
16,0.016000,744029.381618,-1466262.960554,-722233.578936,5.191731e-05,-1138.369049,590.019653,581.578108,0.588,0.225,3.543
17,0.017000,744017.393568,-1466249.488911,-722232.095343,4.986303e-05,-1138.242092,590.053259,581.405772,1.242,0.358,8.740
18,0.018000,744003.398291,-1466235.782716,-722232.384425,5.026331e-05,-1138.126971,590.240490,581.287261,0.574,0.179,3.548
19,0.019000,743989.901759,-1466221.815985,-722231.914226,4.961224e-05,-1137.965050,590.523454,581.135095,0.571,0.157,3.478
20,0.020000,743976.773805,-1466207.549594,-722230.775790,4.803589e-05,-1137.813584,590.703482,581.013779,0.573,0.157,27.396
21,0.021000,743962.501373,-1466192.943915,-722230.442542,4.757445e-05,-1137.709965,590.910368,580.998578,0.571,0.171,3.508
22,0.022000,743948.101689,-1466177.958076,-722229.856387,4.676282e-05,-1137.622035,591.096208,580.943126,0.570,0.181,46.766
23,0.023000,743935.028755,-1466162.552327,-722227.523572,4.353266e-05,-1137.588766,591.210917,580.892873,0.586,0.173,3.548
24,0.024000,743922.245572,-1466146.691835,-722224.446263,3.927161e-05,-1137.538823,591.375155,580.887290,0.781,0.198,7.550
25,0.025000,743907.763995,-1466130.350350,-722222.586355,3.669626e-05,-1137.449731,591.509980,580.844153,0.575,0.152,16.056
26,0.026000,743893.319877,-1466113.507096,-722220.187218,3.337426e-05,-1137.429774,591.592401,580.827260,0.577,0.192,3.599
27,0.027000,743878.296814,-1466096.158563,-722217.861748,3.015426e-05,-1137.355524,591.635138,580.872920,0.566,0.140,3.475
28,0.028000,743862.359016,-1466078.292546,-722215.933530,2.748433e-05,-1137.353911,591.628109,580.932733,0.571,0.147,3.517
29,0.029000,743847.374036,-1466059.908590,-722212.534555,2.277788e-05,-1137.405033,591.695312,581.068222,0.576,0.186,3.654
30,0.030000,743832.341784,-1466041.009064,-722208.667280,1.742300e-05,-1137.455151,591.778571,581.319616,1.884,0.240,6.913
31,0.031000,743817.115272,-1466021.605638,-722204.490366,1.163937e-05,-1137.511091,591.799261,581.517992,0.600,0.243,13.843
32,0.032000,743801.655667,-1466001.716094,-722200.060427,5.505387e-06,-1137.497972,591.850275,581.656263,0.576,0.174,3.994
33,0.033000,743785.292595,-1465981.364956,-722196.072362,1.674927e-08,-1137.483048,591.830495,581.848877,0.895,0.616,14.115
34,0.034000,743768.167742,-1465960.573192,-722192.405450,5.094196e-06,-1137.452417,591.829669,581.841488,0.588,0.176,53.646
35,0.035000,743753.459383,-1465939.367957,-722185.908574,1.409020e-05,-1137.435280,591.878509,581.868206,0.789,0.231,3.569
36,0.036000,743739.672183,-1465917.782609,-722178.110426,2.488802e-05,-1137.425151,591.832896,581.926025,1.037,0.159,6.007
37,0.037000,743724.362893,-1465895.844463,-722171.481570,3.406677e-05,-1137.333160,591.761190,581.996819,1.070,0.361,6.095
38,0.038000,743707.997089,-1465873.580058,-722165.582970,4.223436e-05,-1137.237703,591.696375,582.036804,0.779,1.177,11.081
39,0.039000,743689.994308,-1465851.006687,-722161.012379,4.856310e-05,-1137.203884,591.554783,582.079060,0.887,0.347,6.748
40,0.040000,743670.822508,-1465828.137827,-722157.315318,5.368229e-05,-1137.176168,591.328176,582.217690,1.290,0.184,47.828
41,0.041000,743651.272931,-1465804.991379,-722153.718448,5.866275e-05,-1137.118729,591.168154,582.361581,0.573,0.167,92.223
