step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,737643.829733,-1452243.130371,-714599.300638,0.000000e+00,-614.638042,76.626439,-303.481126,103.011,8.730,0.043
2,0.002000,737643.829723,-1452225.944044,-714582.114321,2.405028e-05,-614.638060,76.626438,-303.481026,3.518,1.136,0.257
3,0.003000,737643.829712,-1452194.288576,-714550.458864,6.834848e-05,-614.638078,76.626437,-303.480926,1.261,2.082,0.061
4,0.004000,737643.829701,-1452148.178531,-714504.348830,1.328742e-04,-614.638096,76.626436,-303.480826,1.146,1.803,0.070
5,0.005000,737643.829690,-1452087.629282,-714443.799592,2.176059e-04,-614.638114,76.626436,-303.480726,1.221,0.305,0.065
6,0.006000,737643.829679,-1452012.659359,-714368.829680,3.225177e-04,-614.638133,76.626435,-303.480626,37.627,1.501,0.074
7,0.007000,737643.829668,-1451923.292693,-714279.463025,4.475762e-04,-614.638151,76.626434,-303.480526,1.050,15.659,0.046
8,0.008000,737643.829657,-1451819.560993,-714175.731336,5.927368e-04,-614.638169,76.626433,-303.480427,1.071,0.247,0.050
9,0.009000,737643.829646,-1451701.505096,-714057.675450,7.579425e-04,-614.638187,76.626432,-303.480327,3.175,0.471,0.167
10,0.010000,737643.829635,-1451569.174577,-713925.344942,9.431239e-04,-614.638205,76.626431,-303.480227,0.910,25.581,0.043
11,0.011000,737643.829625,-1451422.626411,-713778.796786,1.148201e-03,-614.638224,76.626430,-303.480127,0.907,7.118,0.048
12,0.012000,737643.829614,-1451261.922581,-713618.092967,1.373088e-03,-614.638242,76.626430,-303.480028,0.919,0.165,0.118
13,0.013000,737643.829602,-1451087.126935,-713443.297333,1.617694e-03,-614.638260,76.626429,-303.479928,0.891,0.180,0.046
14,0.014000,737643.829591,-1450898.303449,-713254.473857,1.881931e-03,-614.638279,76.626428,-303.479829,1.076,0.449,0.047
