step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744236.286535,-1466418.817711,-722182.531176,0.000000e+00,-1139.701047,589.701984,581.073852,59.678,1.542,0.035
2,0.002000,744236.286539,-1466390.640741,-722154.354202,3.901642e-05,-1139.701044,589.701988,581.073658,36.653,76.607,0.067
3,0.003000,744236.286544,-1466347.964257,-722111.677713,9.811019e-05,-1139.701042,589.701991,581.073464,3.241,0.271,0.116
4,0.004000,744236.286548,-1466290.797423,-722054.510874,1.772686e-04,-1139.701040,589.701995,581.073270,2.150,0.238,19.050
5,0.005000,744236.286553,-1466219.154866,-721982.868313,2.764715e-04,-1139.701038,589.701999,581.073076,5.415,0.383,0.443
6,0.006000,744236.286558,-1466133.055482,-721896.768925,3.956926e-04,-1139.701036,589.702002,581.072882,0.926,37.983,0.047
7,0.007000,744236.286562,-1466032.523143,-721796.236581,5.348988e-04,-1139.701034,589.702006,581.072688,3.031,47.955,0.100
8,0.008000,744236.286567,-1465917.589482,-721681.302915,6.940465e-04,-1139.701032,589.702010,581.072493,0.926,2.358,0.046
9,0.009000,744236.286572,-1465788.296990,-721552.010419,8.730767e-04,-1139.701029,589.702014,581.072299,0.891,22.530,0.041
10,0.010000,744236.286576,-1465644.701087,-721408.414511,1.071913e-03,-1139.701027,589.702017,581.072105,1.071,1.032,0.057
11,0.011000,744236.286581,-1465486.869104,-721250.582523,1.290461e-03,-1139.701025,589.702021,581.071911,1.011,0.231,0.045
12,0.012000,744236.286586,-1465314.875865,-721078.589279,1.528619e-03,-1139.701023,589.702025,581.071717,0.980,24.241,0.046
13,0.013000,744236.286590,-1465128.796808,-720892.510218,1.786281e-03,-1139.701021,589.702029,581.071523,0.934,55.799,0.053
14,0.014000,744236.286596,-1464928.701417,-720692.414821,2.063351e-03,-1139.701019,589.702032,581.071329,0.928,0.255,0.045
15,0.015000,744236.286602,-1464714.647579,-720478.360977,2.359750e-03,-1139.701017,589.702036,581.071135,1.090,0.493,0.047
16,0.016000,744236.286608,-1464486.678625,-720250.392016,2.675417e-03,-1139.701014,589.702040,581.070941,7.149,30.760,0.046
17,0.017000,744236.286614,-1464244.823453,-720008.536838,3.010311e-03,-1139.701012,589.702044,581.070748,1.042,31.780,0.081
18,0.018000,744236.286621,-1463989.097321,-719752.810701,3.364413e-03,-1139.701010,589.702048,581.070554,0.964,2.253,0.045
19,0.019000,744236.286628,-1463719.504955,-719483.218328,3.737716e-03,-1139.701008,589.702052,581.070360,0.984,22.473,0.049
20,0.020000,744236.286634,-1463436.043846,-719199.757212,4.130222e-03,-1139.701006,589.702056,581.070166,1.104,0.171,0.053
21,0.021000,744236.286641,-1463138.709187,-718902.422546,4.541938e-03,-1139.701004,589.702060,581.069972,0.965,0.173,0.055
22,0.022000,744236.286648,-1462827.498757,-718591.212109,4.972869e-03,-1139.701001,589.702063,581.069778,8.723,4.287,0.207
23,0.023000,744236.286654,-1462502.417403,-718266.130748,5.423006e-03,-1139.700999,589.702067,581.069584,1.455,7.936,0.180
24,0.024000,744236.286661,-1462163.480001,-717927.193340,5.892330e-03,-1139.700997,589.702071,581.069391,2.555,8.986,0.051
25,0.025000,744236.286668,-1461810.712165,-717574.425497,6.380805e-03,-1139.700995,589.702075,581.069197,0.952,1.997,1.160
26,0.026000,744236.286674,-1461444.149108,-717207.862433,6.888381e-03,-1139.700992,589.702079,581.069003,1.670,81.813,0.134
27,0.027000,744236.286681,-1461063.834107,-716827.547426,7.415000e-03,-1139.700990,589.702083,581.068809,1.061,3.444,0.047
28,0.028000,744236.286688,-1460669.817524,-716433.530837,7.960592e-03,-1139.700988,589.702087,581.068615,1.045,0.296,0.043
29,0.029000,744236.286695,-1460262.156446,-716025.869751,8.525077e-03,-1139.700986,589.702091,581.068421,1.537,0.393,0.050
30,0.030000,744236.286701,-1459840.915045,-715604.628343,9.108366e-03,-1139.700983,589.702095,581.068227,2.730,0.835,0.054
31,0.031000,744236.286708,-1459406.164876,-715169.878168,9.710361e-03,-1139.700981,589.702099,581.068033,0.900,5.645,0.045
32,0.032000,744236.286715,-1458957.984873,-714721.698158,1.033095e-02,-1139.700979,589.702103,581.067839,0.962,0.482,0.239
33,0.033000,744236.286721,-1458496.461007,-714260.174286,1.097002e-02,-1139.700977,589.702107,581.067645,0.961,0.207,0.054
34,0.034000,744236.286728,-1458021.685704,-713785.398976,1.162744e-02,-1139.700974,589.702111,581.067451,1.913,24.790,0.069
35,0.035000,744236.286735,-1457533.756651,-713297.469916,1.230307e-02,-1139.700972,589.702114,581.067258,0.913,4.699,0.044
36,0.036000,744236.286741,-1457032.774947,-712796.488205,1.299677e-02,-1139.700970,589.702118,581.067064,1.259,0.882,0.048
37,0.037000,744236.286748,-1456518.841874,-712282.555126,1.370841e-02,-1139.700968,589.702122,581.066870,1.240,0.904,0.046
38,0.038000,744236.286755,-1455992.055995,-711755.769240,1.443785e-02,-1139.700965,589.702126,581.066676,1.646,0.788,0.047
39,0.039000,744236.286762,-1455452.510928,-711216.224167,1.518495e-02,-1139.700963,589.702130,581.066482,2.299,8.321,0.193
40,0.040000,744236.286768,-1454900.295452,-710664.008684,1.594960e-02,-1139.700961,589.702134,581.066288,1.446,0.586,0.049
41,0.041000,744236.286775,-1454335.495259,-710099.208484,1.673167e-02,-1139.700959,589.702138,581.066094,1.086,0.215,0.054
42,0.042000,744236.286782,-1453758.197042,-709521.910260,1.753105e-02,-1139.700956,589.702142,581.065900,0.901,1.767,0.039
43,0.043000,744236.286789,-1453168.491395,-708932.204606,1.834761e-02,-1139.700954,589.702146,581.065706,2.245,0.783,0.150
44,0.044000,744236.286795,-1452566.474877,-708330.188082,1.918122e-02,-1139.700952,589.702150,581.065512,0.987,0.352,0.051
45,0.045000,744236.286802,-1451952.249123,-707715.962321,2.003173e-02,-1139.700950,589.702154,581.065318,1.050,0.280,0.054
46,0.046000,744236.286809,-1451325.917506,-707089.630698,2.089901e-02,-1139.700947,589.702158,581.065125,0.920,0.684,0.059
47,0.047000,744236.286815,-1450687.581504,-706451.294689,2.178291e-02,-1139.700945,589.702162,581.064931,0.892,0.202,0.042
48,0.048000,744236.286822,-1450037.337543,-705801.050721,2.268330e-02,-1139.700943,589.702166,581.064737,0.940,0.320,0.047
49,0.049000,744236.286829,-1449375.275939,-705138.989110,2.360005e-02,-1139.700940,589.702170,581.064543,17.792,6.908,0.171
50,0.050000,744236.286836,-1448701.481675,-704465.194840,2.453304e-02,-1139.700938,589.702174,581.064349,1.220,19.429,0.050
51,0.051000,744236.286842,-1448016.036280,-703779.749438,2.548218e-02,-1139.700936,589.702178,581.064155,1.965,0.573,0.054
52,0.052000,744236.286849,-1447319.021046,-703082.734197,2.644733e-02,-1139.700933,589.702182,581.063962,5.313,15.477,0.047
53,0.053000,744236.286856,-1446610.519832,-702374.232976,2.742838e-02,-1139.700931,589.702186,581.063768,3.571,0.348,0.495
