step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,193073.283923,0.000000,193073.283923,0.000000e+00,-286.430161,0.011014,33.446482,48.289,3.194,0.029
2,0.002000,193073.517677,0.000000,193073.517677,1.210698e-06,-286.436546,-0.047870,33.462672,3.868,0.344,4.703
3,0.003000,193073.733897,0.000000,193073.733897,2.330582e-06,-286.445005,-0.107095,33.479036,1.460,0.325,0.046
4,0.004000,193073.932323,0.000000,193073.932323,3.358307e-06,-286.455544,-0.166738,33.495475,1.161,0.306,0.032
5,0.005000,193074.113783,0.000000,193074.113783,4.298160e-06,-286.468391,-0.226311,33.511659,1.574,0.287,2.145
6,0.006000,193074.277493,0.000000,193074.277493,5.146073e-06,-286.483506,-0.285877,33.527374,2.389,0.561,0.080
7,0.007000,193074.423049,0.000000,193074.423049,5.899963e-06,-286.500880,-0.345601,33.542535,1.232,0.319,0.032
8,0.008000,193074.533158,0.000000,193074.533158,6.470261e-06,-286.562990,-0.357509,33.710635,1.881,0.412,0.035
9,0.009000,193074.593762,0.000000,193074.593762,6.784155e-06,-286.668739,-0.321389,34.031379,1.516,0.282,0.028
10,0.010000,193074.608779,0.000000,193074.608779,6.861932e-06,-286.774626,-0.285033,34.351032,2.413,1.221,0.045
11,0.011000,193074.578408,0.000000,193074.578408,6.704628e-06,-286.880637,-0.248396,34.669588,1.336,0.726,0.111
12,0.012000,193074.502543,0.000000,193074.502543,6.311697e-06,-286.986620,-0.211378,34.987054,2.876,0.817,0.139
13,0.013000,193074.380976,0.000000,193074.380976,5.682054e-06,-287.092578,-0.174053,35.303306,1.183,0.252,0.103
14,0.014000,193074.212727,0.000000,193074.212727,4.810629e-06,-287.198804,-0.136223,35.618173,3.751,0.443,0.108
15,0.015000,193073.998668,0.000000,193073.998668,3.701934e-06,-287.305369,-0.097700,35.931783,1.713,0.610,0.162
16,0.016000,193073.740337,0.000000,193073.740337,2.363938e-06,-287.412003,-0.058601,36.244283,1.336,0.570,0.044
17,0.017000,193073.437898,0.000000,193073.437898,7.974927e-07,-287.518683,-0.018915,36.555639,1.265,0.306,0.050
18,0.018000,193073.091865,0.000000,193073.091865,9.947444e-07,-287.625424,0.021394,36.865829,1.982,1.163,0.041
19,0.019000,193072.702635,0.000000,193072.702635,3.010713e-06,-287.732237,0.062363,37.174845,1.116,0.424,0.042
20,0.020000,193072.270577,0.000000,193072.270577,5.248504e-06,-287.839133,0.104026,37.482674,1.674,0.499,0.082
21,0.021000,193071.796106,0.000000,193071.796106,7.705970e-06,-287.946129,0.146416,37.789295,1.046,0.242,0.029
22,0.022000,193071.279655,0.000000,193071.279655,1.038087e-05,-288.053272,0.189565,38.094690,1.832,0.284,0.036
23,0.023000,193070.721932,0.000000,193070.721932,1.326953e-05,-288.160626,0.233522,38.398869,1.049,0.238,0.035
24,0.024000,193070.123429,0.000000,193070.123429,1.636940e-05,-288.268164,0.278211,38.701815,1.135,0.301,0.034
25,0.025000,193069.484788,0.000000,193069.484788,1.967717e-05,-288.375998,0.323721,39.003610,1.207,0.333,0.026
26,0.026000,193068.807070,0.000000,193068.807070,2.318733e-05,-288.484049,0.370410,39.304254,1.311,0.322,0.037
27,0.027000,193068.090569,0.000000,193068.090569,2.689836e-05,-288.592456,0.418194,39.603523,1.454,0.915,0.042
28,0.028000,193067.335189,0.000000,193067.335189,3.081076e-05,-288.701379,0.466877,39.901403,1.229,0.256,0.037
29,0.029000,193066.540403,0.000000,193066.540403,3.492726e-05,-288.810790,0.516756,40.197839,1.221,0.316,0.116
30,0.030000,193065.706831,0.000000,193065.706831,3.924464e-05,-288.920717,0.567850,40.492802,1.199,0.257,0.035
31,0.031000,193064.836108,0.000000,193064.836108,4.375445e-05,-289.030984,0.619930,40.786394,1.168,0.265,0.035
32,0.032000,193063.928440,0.000000,193063.928440,4.845561e-05,-289.141668,0.673149,41.078796,1.351,0.642,0.034
33,0.033000,193062.470211,0.000000,193062.470211,5.600833e-05,-289.137284,1.017541,41.260402,1.179,0.365,0.063
34,0.034000,193060.450046,0.000000,193060.450046,6.647154e-05,-289.017730,1.652322,41.332323,1.127,0.264,0.032
35,0.035000,193058.370217,0.000000,193058.370217,7.724376e-05,-288.898458,2.286902,41.405537,1.080,0.368,0.131
36,0.036000,193056.231997,0.000000,193056.231997,8.831841e-05,-288.779636,2.921528,41.480182,1.168,0.411,0.030
37,0.037000,193054.036217,0.000000,193054.036217,9.969119e-05,-288.661328,3.556194,41.556239,1.060,0.213,0.032
38,0.038000,193051.783401,0.000000,193051.783401,1.113594e-04,-288.543562,4.190705,41.633421,3.248,0.221,0.109
39,0.039000,193049.474230,0.000000,193049.474230,1.233195e-04,-288.426272,4.825093,41.711804,1.065,0.257,0.030
40,0.040000,193047.109509,0.000000,193047.109509,1.355672e-04,-288.309243,5.459399,41.791497,1.539,0.413,0.053
41,0.041000,193044.690368,0.000000,193044.690368,1.480969e-04,-288.192650,6.093421,41.872254,1.183,0.483,0.033
42,0.042000,193042.218191,0.000000,193042.218191,1.609012e-04,-288.076635,6.727143,41.954037,1.098,0.296,0.045
43,0.043000,193039.693702,0.000000,193039.693702,1.739765e-04,-287.961066,7.360677,42.036796,2.100,0.456,0.041
44,0.044000,193037.117461,0.000000,193037.117461,1.873199e-04,-287.846039,7.993878,42.120600,1.214,0.270,0.027
45,0.045000,193034.490737,0.000000,193034.490737,2.009247e-04,-287.731707,8.626583,42.205442,1.019,0.231,0.025
46,0.046000,193031.814338,0.000000,193031.814338,2.147868e-04,-287.618131,9.258761,42.291147,1.056,0.247,0.031
47,0.047000,193029.088999,0.000000,193029.088999,2.289023e-04,-287.505369,9.890517,42.377777,1.621,0.282,0.097
48,0.048000,193026.315651,0.000000,193026.315651,2.432666e-04,-287.393330,10.521878,42.465348,4.202,0.412,0.159
49,0.049000,193023.494918,0.000000,193023.494918,2.578762e-04,-287.281900,11.152722,42.553749,1.039,0.473,0.029
50,0.050000,193020.627520,0.000000,193020.627520,2.727275e-04,-287.171070,11.783035,42.643084,1.207,0.377,0.141
51,0.051000,193017.714641,0.000000,193017.714641,2.878145e-04,-287.060942,12.412763,42.733284,1.180,0.551,0.031
52,0.052000,193014.757588,0.000000,193014.757588,3.031302e-04,-286.951592,13.041763,42.824110,1.375,0.264,0.031
53,0.053000,193011.756967,0.000000,193011.756967,3.186715e-04,-286.842968,13.670125,42.915633,1.230,0.313,0.035
54,0.054000,193008.713463,0.000000,193008.713463,3.344350e-04,-286.735074,14.297824,43.007865,1.197,0.707,0.043
55,0.055000,193005.627949,0.000000,193005.627949,3.504160e-04,-286.628072,14.924903,43.100813,2.358,0.369,0.114
56,0.056000,193002.501239,0.000000,193002.501239,3.666105e-04,-286.522129,15.551431,43.194445,1.788,0.272,0.113
57,0.057000,192999.334225,0.000000,192999.334225,3.830136e-04,-286.417059,16.177214,43.288678,1.136,0.278,0.130
58,0.058000,192996.127700,0.000000,192996.127700,3.996214e-04,-286.312699,16.802139,43.383474,1.040,0.301,0.029
59,0.059000,192992.882562,0.000000,192992.882562,4.164292e-04,-286.209035,17.426198,43.478727,1.044,0.258,0.030
60,0.060000,192989.599278,0.000000,192989.599278,4.334346e-04,-286.106151,18.049412,43.574400,1.416,0.372,0.040
61,0.061000,192986.278804,0.000000,192986.278804,4.506326e-04,-286.004255,18.671831,43.670498,1.967,0.430,0.109
62,0.062000,192982.922176,0.000000,192982.922176,4.680179e-04,-285.903312,19.293461,43.767081,2.089,0.456,0.095
63,0.063000,192979.529870,0.000000,192979.529870,4.855879e-04,-285.803352,19.914482,43.864129,1.311,0.451,0.029
64,0.064000,192976.102195,0.000000,192976.102195,5.033412e-04,-285.704307,20.535141,43.961750,1.072,0.655,0.032
65,0.065000,192972.639529,0.000000,192972.639529,5.212756e-04,-285.606364,21.155409,44.059848,1.061,0.243,0.035
66,0.066000,192969.142664,0.000000,192969.142664,5.393872e-04,-285.509604,21.775066,44.158294,1.496,0.290,0.044
67,0.067000,192965.613047,0.000000,192965.613047,5.576684e-04,-285.413789,22.393808,44.257119,1.217,0.393,0.047
68,0.068000,192962.051965,0.000000,192962.051965,5.761126e-04,-285.318908,23.011523,44.356235,1.034,0.243,0.030
69,0.069000,192958.459274,0.000000,192958.459274,5.947205e-04,-285.224891,23.628376,44.455683,1.055,0.489,0.026
70,0.070000,192954.834876,0.000000,192954.834876,6.134927e-04,-285.131887,24.244591,44.555551,1.041,0.261,0.025
71,0.071000,192951.179769,0.000000,192951.179769,6.324239e-04,-285.039788,24.860238,44.655921,1.325,0.324,0.132
72,0.072000,192947.495502,0.000000,192947.495502,6.515061e-04,-284.948437,25.475154,44.756631,1.340,0.231,0.042
73,0.073000,192943.782831,0.000000,192943.782831,6.707354e-04,-284.857976,26.089111,44.857603,1.191,0.420,0.025
74,0.074000,192940.042305,0.000000,192940.042305,6.901090e-04,-284.768421,26.701956,44.958810,1.305,0.295,0.030
75,0.075000,192936.274794,0.000000,192936.274794,7.096224e-04,-284.679892,27.313765,45.060212,1.096,0.221,0.030
76,0.076000,192932.480369,0.000000,192932.480369,7.292752e-04,-284.592247,27.924632,45.161874,1.326,0.265,0.035
77,0.077000,192928.659363,0.000000,192928.659363,7.490656e-04,-284.505293,28.534432,45.263729,1.045,0.509,0.031
78,0.078000,192924.812625,0.000000,192924.812625,7.689893e-04,-284.419031,29.143023,45.365670,1.048,0.253,0.031
79,0.079000,192920.941021,0.000000,192920.941021,7.890419e-04,-284.333519,29.750354,45.467672,2.340,0.696,0.104
80,0.080000,192917.045378,0.000000,192917.045378,8.092189e-04,-284.248914,30.356435,45.569732,1.324,0.262,0.033
81,0.081000,192913.126271,0.000000,192913.126271,8.295174e-04,-284.165220,30.961312,45.671866,1.055,0.435,0.025
82,0.082000,192909.183771,0.000000,192909.183771,8.499371e-04,-284.082383,31.565167,45.774197,1.372,0.844,0.037
83,0.083000,192905.218655,0.000000,192905.218655,8.704740e-04,-284.000335,32.167881,45.876776,1.070,0.287,0.031
84,0.084000,192901.231603,0.000000,192901.231603,8.911244e-04,-283.919155,32.769351,45.979549,1.536,0.473,0.151
85,0.085000,192897.222910,0.000000,192897.222910,9.118870e-04,-283.838855,33.369599,46.082414,1.180,0.334,0.034
86,0.086000,192893.192950,0.000000,192893.192950,9.327597e-04,-283.759073,33.968321,46.185138,2.817,1.733,0.087
87,0.087000,192889.141868,0.000000,192889.141868,9.537418e-04,-283.679807,34.565634,46.287859,1.253,0.439,0.034
88,0.088000,192885.070722,0.000000,192885.070722,9.748278e-04,-283.601449,35.161734,46.390637,1.152,0.321,0.034
89,0.089000,192880.980260,0.000000,192880.980260,9.960138e-04,-283.524067,35.756559,46.493369,1.151,0.280,0.030
90,0.090000,192876.871237,0.000000,192876.871237,1.017296e-03,-283.447569,36.350122,46.596080,1.447,0.600,0.032
91,0.091000,192872.743622,0.000000,192872.743622,1.038675e-03,-283.372094,36.942601,46.698631,2.485,0.247,0.121
92,0.092000,192868.596626,0.000000,192868.596626,1.060153e-03,-283.297597,37.534027,46.801006,1.073,0.229,0.035
93,0.093000,192864.430222,0.000000,192864.430222,1.081733e-03,-283.223758,38.124572,46.903258,2.657,0.256,0.090
94,0.094000,192860.246735,0.000000,192860.246735,1.103401e-03,-283.150946,38.714519,47.005466,1.161,0.265,0.034
95,0.095000,192856.047415,0.000000,192856.047415,1.125151e-03,-283.079350,39.303951,47.107721,1.262,0.235,0.586
96,0.096000,192851.831947,0.000000,192851.831947,1.146984e-03,-283.008570,39.892477,47.210006,1.353,0.366,0.047
97,0.097000,192847.599347,0.000000,192847.599347,1.168906e-03,-282.938531,40.479802,47.312199,1.944,0.241,0.104
98,0.098000,192843.349779,0.000000,192843.349779,1.190916e-03,-282.869017,41.066065,47.414387,1.057,0.235,0.038
99,0.099000,192839.084691,0.000000,192839.084691,1.213007e-03,-282.799933,41.651223,47.516300,1.146,0.333,0.035
100,0.100000,192834.802487,0.000000,192834.802487,1.235186e-03,-282.731319,42.235358,47.617889,1.203,0.487,0.033
101,0.101000,192830.503333,0.000000,192830.503333,1.257453e-03,-282.663040,42.818028,47.719109,3.214,0.336,0.085
102,0.102000,192826.188252,0.000000,192826.188252,1.279802e-03,-282.595650,43.399569,47.820181,1.104,0.278,0.030
103,0.103000,192821.858529,0.000000,192821.858529,1.302228e-03,-282.529367,43.980540,47.921246,1.875,0.324,0.091
104,0.104000,192817.515448,0.000000,192817.515448,1.324722e-03,-282.463708,44.560302,48.021804,1.235,0.244,0.034
105,0.105000,192813.158541,0.000000,192813.158541,1.347288e-03,-282.398736,45.138535,48.122063,1.115,0.259,0.032
106,0.106000,192808.788602,0.000000,192808.788602,1.369922e-03,-282.334650,45.715548,48.222020,1.124,0.261,0.028
107,0.107000,192804.406483,0.000000,192804.406483,1.392619e-03,-282.271534,46.291848,48.321582,1.081,0.330,0.062
108,0.108000,192800.011836,0.000000,192800.011836,1.415380e-03,-282.209273,46.867207,48.420702,1.124,0.238,0.034
109,0.109000,192795.605686,0.000000,192795.605686,1.438201e-03,-282.147775,47.441063,48.519344,1.078,0.226,0.028
110,0.110000,192791.186696,0.000000,192791.186696,1.461089e-03,-282.086975,48.013723,48.618082,1.097,0.495,0.030
111,0.111000,192786.753997,0.000000,192786.753997,1.484048e-03,-282.027169,48.585742,48.717004,1.186,0.291,0.034
112,0.112000,192782.310828,0.000000,192782.310828,1.507060e-03,-281.968467,49.156769,48.815690,1.297,0.241,0.029
113,0.113000,192777.857815,0.000000,192777.857815,1.530124e-03,-281.910315,49.726247,48.913998,1.053,0.302,0.030
114,0.114000,192773.394949,0.000000,192773.394949,1.553239e-03,-281.852850,50.294413,49.012011,1.152,0.269,0.038
115,0.115000,192768.922305,0.000000,192768.922305,1.576405e-03,-281.796151,50.861302,49.109792,3.333,0.351,0.109
116,0.116000,192764.440627,0.000000,192764.440627,1.599617e-03,-281.739983,51.426530,49.207145,1.834,0.237,0.142
117,0.117000,192759.950539,0.000000,192759.950539,1.622873e-03,-281.684575,51.990222,49.304101,1.193,0.350,0.030
118,0.118000,192755.451478,0.000000,192755.451478,1.646175e-03,-281.629707,52.552291,49.400649,1.071,0.269,0.037
119,0.119000,192750.944396,0.000000,192750.944396,1.669519e-03,-281.575416,53.112760,49.496854,1.065,0.852,0.026
120,0.120000,192746.429337,0.000000,192746.429337,1.692904e-03,-281.522025,53.672130,49.592980,1.124,0.704,0.026
121,0.121000,192741.905389,0.000000,192741.905389,1.716336e-03,-281.469122,54.230121,49.688979,1.148,0.356,0.036
122,0.122000,192737.372427,0.000000,192737.372427,1.739813e-03,-281.416810,54.786648,49.784613,1.247,0.381,0.029
123,0.123000,192732.831776,0.000000,192732.831776,1.763331e-03,-281.365135,55.341626,49.879791,2.673,1.194,0.109
124,0.124000,192728.283072,0.000000,192728.283072,1.786891e-03,-281.314021,55.895155,49.974662,1.247,0.246,0.037
125,0.125000,192723.727168,0.000000,192723.727168,1.810487e-03,-281.263705,56.447396,50.069200,1.234,0.577,0.031
126,0.126000,192719.165215,0.000000,192719.165215,1.834116e-03,-281.214070,56.998088,50.163483,3.951,0.335,0.110
127,0.127000,192714.597440,0.000000,192714.597440,1.857774e-03,-281.165109,57.547230,50.257525,1.151,0.348,0.040
128,0.128000,192710.022574,0.000000,192710.022574,1.881469e-03,-281.116840,58.095254,50.351347,1.294,0.511,0.049
129,0.129000,192705.438746,0.000000,192705.438746,1.905210e-03,-281.069760,58.642706,50.444991,1.265,0.309,0.137
130,0.130000,192700.848365,0.000000,192700.848365,1.928985e-03,-281.023965,59.189544,50.538310,1.096,0.380,0.029
131,0.131000,192696.250804,0.000000,192696.250804,1.952798e-03,-280.978995,59.735494,50.631525,1.318,0.337,0.030
132,0.132000,192691.644239,0.000000,192691.644239,1.976657e-03,-280.934698,60.280202,50.725145,1.450,0.379,0.109
133,0.133000,192687.027804,0.000000,192687.027804,2.000567e-03,-280.889777,60.823783,50.819719,1.888,0.780,0.045
134,0.134000,192682.403137,0.000000,192682.403137,2.024520e-03,-280.844538,61.366731,50.915097,1.290,0.283,0.046
135,0.135000,192677.769138,0.000000,192677.769138,2.048522e-03,-280.799937,61.908740,51.010748,1.079,0.477,0.033
136,0.136000,192673.127621,0.000000,192673.127621,2.072562e-03,-280.755624,62.449369,51.106273,1.300,0.456,0.045
137,0.137000,192668.481419,0.000000,192668.481419,2.096626e-03,-280.711512,62.988487,51.201610,1.211,0.287,0.027
138,0.138000,192663.830543,0.000000,192663.830543,2.120715e-03,-280.667650,63.525847,51.296660,1.186,0.252,0.073
139,0.139000,192659.176332,0.000000,192659.176332,2.144821e-03,-280.624099,64.062074,51.391064,1.072,0.401,0.030
140,0.140000,192654.517343,0.000000,192654.517343,2.168951e-03,-280.581173,64.598219,51.485267,1.059,0.204,0.031
141,0.141000,192649.852982,0.000000,192649.852982,2.193110e-03,-280.539165,65.134616,51.580343,2.178,0.307,0.093
142,0.142000,192645.183347,0.000000,192645.183347,2.217296e-03,-280.497849,65.670748,51.676268,1.343,0.263,0.033
143,0.143000,192640.511007,0.000000,192640.511007,2.241496e-03,-280.456943,66.204697,51.771623,1.050,0.250,0.031
