step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744223.713697,-1466418.587043,-722194.873345,0.000000e+00,-1140.159689,589.418147,581.149853,0.000,5.875,0.035
2,0.002000,744209.157033,-1466404.030948,-722194.873914,7.879990e-10,-1140.159676,589.418124,581.149824,0.000,4.416,0.083
3,0.003000,744193.952837,-1466388.826670,-722194.873832,6.744180e-10,-1140.159690,589.418135,581.149797,0.000,10.617,0.179
4,0.004000,744178.107542,-1466372.979130,-722194.871587,2.434300e-09,-1140.159725,589.418137,581.149780,0.000,18.798,0.069
5,0.005000,744161.626730,-1466356.496854,-722194.870123,4.461472e-09,-1140.159736,589.418115,581.149774,0.000,7.105,0.076
6,0.006000,744144.520275,-1466339.389105,-722194.868829,6.253222e-09,-1140.159710,589.418112,581.149776,0.000,4.554,0.059
7,0.007000,744126.801889,-1466321.669419,-722194.867529,8.053210e-09,-1140.159693,589.418148,581.149786,0.000,4.219,0.055
8,0.008000,744108.488211,-1466303.354182,-722194.865972,1.020996e-08,-1140.159698,589.418168,581.149757,0.000,9.439,0.083
9,0.009000,744089.607258,-1466284.470443,-722194.863185,1.406891e-08,-1140.159723,589.418196,581.149716,0.000,4.489,0.061
10,0.010000,744070.195913,-1466265.054976,-722194.859064,1.977565e-08,-1140.159719,589.418233,581.149735,0.000,6.373,0.053
11,0.011000,744050.299701,-1466245.154049,-722194.854348,2.630535e-08,-1140.159714,589.418258,581.149737,0.000,9.689,0.104
12,0.012000,744029.970131,-1466224.819572,-722194.849440,3.310066e-08,-1140.159705,589.418282,581.149704,0.000,37.240,0.085
13,0.013000,744009.255037,-1466204.101063,-722194.846026,3.782839e-08,-1140.159700,589.418275,581.149680,0.000,12.311,0.095
14,0.014000,743988.195374,-1466183.040914,-722194.845540,3.850192e-08,-1140.159721,589.418275,581.149699,0.000,6.286,0.062
15,0.015000,743966.820885,-1466161.666179,-722194.845295,3.884090e-08,-1140.159733,589.418299,581.149697,0.000,6.989,0.056
16,0.016000,743945.141500,-1466139.986112,-722194.844612,3.978618e-08,-1140.159744,589.418301,581.149637,0.000,6.333,0.126
17,0.017000,743923.149739,-1466117.995904,-722194.846165,3.763598e-08,-1140.159761,589.418300,581.149640,0.000,4.516,0.065
18,0.018000,743900.823929,-1466095.673650,-722194.849721,3.271161e-08,-1140.159755,589.418306,581.149650,0.000,5.167,0.141
19,0.019000,743878.129188,-1466072.983744,-722194.854557,2.601616e-08,-1140.159760,589.418304,581.149634,0.000,5.047,0.057
20,0.020000,743855.022818,-1466049.881987,-722194.859169,1.963014e-08,-1140.159782,589.418288,581.149659,0.000,5.710,0.079
21,0.021000,743831.457006,-1466026.319550,-722194.862544,1.495662e-08,-1140.159794,589.418252,581.149687,0.000,4.735,0.070
22,0.022000,743807.382011,-1466002.246930,-722194.864919,1.166731e-08,-1140.159763,589.418238,581.149696,0.000,5.818,0.067
23,0.023000,743782.755173,-1465977.622279,-722194.867106,8.639590e-09,-1140.159726,589.418275,581.149714,0.000,7.296,0.548
24,0.024000,743757.540895,-1465952.409581,-722194.868686,6.451234e-09,-1140.159730,589.418336,581.149727,0.000,12.720,0.214
25,0.025000,743731.711946,-1465926.581618,-722194.869673,5.085692e-09,-1140.159768,589.418368,581.149704,0.000,6.259,0.185
26,0.026000,743705.249114,-1465900.119567,-722194.870453,4.005252e-09,-1140.159809,589.418373,581.149701,0.000,6.142,0.067
27,0.027000,743678.139141,-1465873.009244,-722194.870104,4.488841e-09,-1140.159808,589.418368,581.149725,0.000,7.351,0.055
28,0.028000,743650.373326,-1465845.242389,-722194.869062,5.930467e-09,-1140.159804,589.418346,581.149718,0.000,6.204,0.138
29,0.029000,743621.947355,-1465816.816134,-722194.868779,6.322944e-09,-1140.159811,589.418337,581.149637,0.000,4.593,0.094
30,0.030000,743592.865384,-1465787.733967,-722194.868583,6.594826e-09,-1140.159816,589.418326,581.149577,0.000,4.857,0.061
31,0.031000,743563.137160,-1465758.004435,-722194.867276,8.404776e-09,-1140.159809,589.418339,581.149573,0.000,4.682,0.081
32,0.032000,743532.776309,-1465727.642144,-722194.865835,1.039980e-08,-1140.159799,589.418374,581.149575,0.000,4.887,0.084
33,0.033000,743501.802492,-1465696.666295,-722194.863803,1.321267e-08,-1140.159775,589.418401,581.149577,0.000,4.984,0.057
34,0.034000,743470.242085,-1465665.102481,-722194.860396,1.793112e-08,-1140.159746,589.418426,581.149570,0.000,5.603,0.061
35,0.035000,743438.122251,-1465632.978838,-722194.856587,2.320417e-08,-1140.159765,589.418419,581.149563,0.000,5.031,0.057
36,0.036000,743405.470695,-1465600.325271,-722194.854576,2.598907e-08,-1140.159812,589.418414,581.149548,0.000,5.026,0.187
37,0.037000,743372.316898,-1465567.169190,-722194.852292,2.915175e-08,-1140.159835,589.418442,581.149519,0.000,4.540,0.107
38,0.038000,743338.682997,-1465533.534007,-722194.851010,3.092721e-08,-1140.159832,589.418455,581.149481,0.000,4.908,0.056
39,0.039000,743304.586629,-1465499.436551,-722194.849922,3.243350e-08,-1140.159824,589.418427,581.149507,0.000,6.657,0.053
40,0.040000,743270.040501,-1465464.888541,-722194.848040,3.503975e-08,-1140.159822,589.418389,581.149560,0.000,7.408,0.150
41,0.041000,743235.053155,-1465429.901473,-722194.848318,3.465494e-08,-1140.159838,589.418347,581.149574,0.000,9.238,0.056
42,0.042000,743199.638667,-1465394.487188,-722194.848521,3.437339e-08,-1140.159886,589.418322,581.149556,0.000,6.101,0.172
43,0.043000,743163.815850,-1465358.661394,-722194.845544,3.849545e-08,-1140.159907,589.418292,581.149521,0.000,8.031,0.056
44,0.044000,743127.605978,-1465322.447670,-722194.841693,4.382837e-08,-1140.159918,589.418268,581.149499,0.000,4.549,0.054
45,0.045000,743091.032410,-1465285.871117,-722194.838707,4.796304e-08,-1140.159907,589.418287,581.149511,0.000,5.668,0.093
46,0.046000,743054.118704,-1465248.955535,-722194.836831,5.055995e-08,-1140.159880,589.418309,581.149534,0.000,4.748,0.061
47,0.047000,743016.881556,-1465211.717288,-722194.835732,5.208234e-08,-1140.159898,589.418319,581.149546,0.000,6.233,0.164
48,0.048000,742979.330411,-1465174.165915,-722194.835505,5.239668e-08,-1140.159940,589.418295,581.149562,0.000,4.664,0.078
49,0.049000,742941.468673,-1465136.302364,-722194.833691,5.490788e-08,-1140.159991,589.418264,581.149584,0.000,7.500,0.068
50,0.050000,742903.291583,-1465098.124016,-722194.832433,5.665049e-08,-1140.160024,589.418243,581.149579,0.000,4.942,0.057
51,0.051000,742864.791355,-1465059.624713,-722194.833359,5.536842e-08,-1140.160034,589.418237,581.149546,0.000,4.653,0.064
52,0.052000,742825.964812,-1465020.799439,-722194.834627,5.361190e-08,-1140.160069,589.418243,581.149520,0.000,4.878,0.068
53,0.053000,742786.814837,-1464981.649977,-722194.835140,5.290188e-08,-1140.160080,589.418231,581.149504,0.000,13.441,0.099
54,0.054000,742747.351212,-1464942.186290,-722194.835078,5.298783e-08,-1140.160070,589.418223,581.149481,0.000,5.129,0.067
55,0.055000,742707.596086,-1464902.429351,-722194.833265,5.549771e-08,-1140.160076,589.418256,581.149443,0.000,5.331,0.064
56,0.056000,742667.581087,-1464862.410234,-722194.829147,6.120010e-08,-1140.160086,589.418260,581.149392,0.000,19.340,0.799
57,0.057000,742627.341346,-1464822.166406,-722194.825060,6.685923e-08,-1140.160098,589.418231,581.149343,0.000,6.551,0.065
58,0.058000,742586.912818,-1464781.735480,-722194.822662,7.018027e-08,-1140.160125,589.418226,581.149311,0.000,4.867,0.062
59,0.059000,742546.324886,-1464741.144590,-722194.819704,7.427618e-08,-1140.160147,589.418224,581.149305,0.000,4.882,0.069
60,0.060000,742505.592089,-1464700.412068,-722194.819980,7.389373e-08,-1140.160145,589.418248,581.149326,0.000,8.488,0.070
61,0.061000,742464.717447,-1464659.540133,-722194.822686,7.014595e-08,-1140.160150,589.418284,581.149301,0.000,9.805,0.129
62,0.062000,742423.688981,-1464618.512242,-722194.823262,6.934914e-08,-1140.160144,589.418304,581.149295,0.000,5.888,0.060
63,0.063000,742382.478601,-1464577.304900,-722194.826299,6.514357e-08,-1140.160125,589.418310,581.149359,0.000,4.521,0.058
64,0.064000,742341.051489,-1464535.881362,-722194.829873,6.019468e-08,-1140.160135,589.418352,581.149404,0.000,21.082,0.065
65,0.065000,742299.369033,-1464494.202412,-722194.833379,5.533999e-08,-1140.160160,589.418392,581.149430,0.000,6.171,0.066
66,0.066000,742257.388663,-1464452.224538,-722194.835876,5.188327e-08,-1140.160178,589.418437,581.149404,0.000,4.720,0.062
67,0.067000,742215.067810,-1464409.905846,-722194.838036,4.889181e-08,-1140.160161,589.418504,581.149375,0.000,6.532,0.055
68,0.068000,742172.366287,-1464367.206663,-722194.840376,4.565157e-08,-1140.160119,589.418498,581.149352,0.000,5.675,0.063
69,0.069000,742129.244970,-1464324.087512,-722194.842541,4.265323e-08,-1140.160119,589.418489,581.149318,0.000,4.627,0.058
70,0.070000,742085.663396,-1464280.507755,-722194.844359,4.013712e-08,-1140.160158,589.418490,581.149344,0.000,4.525,0.062
71,0.071000,742041.580860,-1464236.428950,-722194.848090,3.497020e-08,-1140.160192,589.418491,581.149367,0.000,4.921,0.075
72,0.072000,741996.961003,-1464191.812855,-722194.851852,2.976061e-08,-1140.160244,589.418515,581.149359,0.000,5.977,0.058
73,0.073000,741951.771799,-1464146.627600,-722194.855801,2.429284e-08,-1140.160290,589.418509,581.149347,0.000,6.319,0.054
74,0.074000,741905.991081,-1464100.848168,-722194.857087,2.251206e-08,-1140.160284,589.418511,581.149347,0.000,5.804,0.058
