step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,314.804100,-573.246661,-258.442561,0.000000e+00,1.968614,5.310831,-23.577837,3.039,0.445,0.006
2,0.002000,314.803917,-573.237427,-258.433510,3.502122e-05,1.968724,5.311362,-23.577470,0.624,0.118,0.033
3,0.003000,314.803736,-573.228012,-258.424277,7.074804e-05,1.968833,5.311893,-23.577103,0.877,0.110,0.035
4,0.004000,314.803554,-573.218417,-258.414863,1.071732e-04,1.968943,5.312425,-23.576737,0.465,0.096,0.039
5,0.005000,314.803372,-573.208642,-258.405270,1.442899e-04,1.969053,5.312956,-23.576371,0.763,0.107,0.123
6,0.006000,314.803190,-573.198690,-258.395500,1.820941e-04,1.969162,5.313487,-23.576005,0.715,0.100,0.206
7,0.007000,314.803007,-573.188560,-258.385553,2.205809e-04,1.969271,5.314018,-23.575639,0.523,0.103,0.040
8,0.008000,314.802823,-573.178253,-258.375429,2.597546e-04,1.969381,5.314549,-23.575273,0.568,0.438,0.036
9,0.009000,314.802641,-573.167771,-258.365130,2.996062e-04,1.969490,5.315079,-23.574908,0.372,0.187,0.115
10,0.010000,314.802459,-573.157115,-258.354656,3.401329e-04,1.969599,5.315609,-23.574542,0.685,0.115,0.031
11,0.011000,314.802277,-573.146287,-258.344009,3.813285e-04,1.969708,5.316139,-23.574177,0.437,0.096,0.030
12,0.012000,314.802096,-573.135287,-258.333191,4.231870e-04,1.969817,5.316668,-23.573811,0.703,0.135,0.096
13,0.013000,314.801914,-573.124117,-258.322203,4.657043e-04,1.969926,5.317197,-23.573446,0.769,0.230,0.074
14,0.014000,314.801732,-573.112779,-258.311047,5.088703e-04,1.970034,5.317726,-23.573080,0.380,0.393,0.039
15,0.015000,314.801550,-573.101274,-258.299724,5.526818e-04,1.970142,5.318255,-23.572715,0.372,0.111,0.041
16,0.016000,314.801367,-573.089602,-258.288235,5.971373e-04,1.970250,5.318783,-23.572349,1.111,0.483,0.099
17,0.017000,314.801185,-573.077765,-258.276580,6.422352e-04,1.970358,5.319312,-23.571984,0.816,0.250,0.080
18,0.018000,314.801002,-573.065763,-258.264761,6.879681e-04,1.970465,5.319840,-23.571618,0.634,0.122,0.087
19,0.019000,314.800820,-573.053599,-258.252778,7.343312e-04,1.970572,5.320369,-23.571253,1.301,0.263,0.094
20,0.020000,314.800638,-573.041272,-258.240635,7.813193e-04,1.970680,5.320897,-23.570887,0.338,0.090,0.031
