step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,2963999.204705,0.000000,2963999.204705,0.000000e+00,-859.323956,-1172.368932,758.411962,1.461,15.849,0.463
2,0.002000,2964215.492662,0.000000,2964215.492662,7.297166e-05,-859.908907,-1171.034727,757.657956,1.419,23.022,0.206
3,0.003000,2964433.792753,0.000000,2964433.792753,1.466222e-04,-860.499009,-1169.758981,756.886649,1.681,12.358,0.273
4,0.004000,2964651.991122,0.000000,2964651.991122,2.202384e-04,-861.074986,-1168.638112,756.171810,1.324,20.777,0.123
5,0.005000,2964866.279088,0.000000,2964866.279088,2.925353e-04,-861.657957,-1167.570320,755.495035,1.270,19.618,0.775
6,0.006000,2965075.942346,0.000000,2965075.942346,3.632719e-04,-862.271999,-1166.491709,754.790786,1.438,29.068,0.657
7,0.007000,2965280.918085,0.000000,2965280.918085,4.324270e-04,-862.946196,-1165.323126,754.072720,12.217,96.917,1.453
8,0.008000,2965484.164845,0.000000,2965484.164845,5.009988e-04,-863.724803,-1164.069489,753.307776,2.880,11.921,0.474
9,0.009000,2965688.626316,0.000000,2965688.626316,5.699805e-04,-864.516125,-1162.847960,752.528086,1.368,58.800,0.116
10,0.010000,2965889.195064,0.000000,2965889.195064,6.376487e-04,-865.154073,-1161.591179,751.742881,9.385,12.187,0.096
11,0.011000,2966088.689572,0.000000,2966088.689572,7.049546e-04,-865.805434,-1160.354688,750.909356,3.305,8.835,0.140
12,0.012000,2966288.470922,0.000000,2966288.470922,7.723572e-04,-866.537076,-1159.227783,750.106871,1.659,8.528,0.112
13,0.013000,2966485.538020,0.000000,2966485.538020,8.388441e-04,-867.250823,-1158.115342,749.345885,1.838,14.128,0.651
14,0.014000,2966683.142811,0.000000,2966683.142811,9.055124e-04,-867.830036,-1156.987247,748.602501,1.395,11.118,0.434
15,0.015000,2966879.912924,0.000000,2966879.912924,9.718991e-04,-868.313873,-1155.833558,747.865092,1.817,9.852,0.189
16,0.016000,2967077.779201,0.000000,2967077.779201,1.038656e-03,-868.864751,-1154.829520,747.089162,1.249,12.832,0.378
17,0.017000,2967279.032184,0.000000,2967279.032184,1.106555e-03,-869.456496,-1153.959741,746.299159,1.254,9.101,0.101
18,0.018000,2967479.583938,0.000000,2967479.583938,1.174217e-03,-870.047352,-1153.216504,745.540956,1.348,11.449,0.094
19,0.019000,2967676.886359,0.000000,2967676.886359,1.240784e-03,-870.610809,-1152.571417,744.667910,1.690,13.634,0.162
20,0.020000,2967869.966824,0.000000,2967869.966824,1.305925e-03,-871.224891,-1151.852897,743.753976,1.381,11.152,0.116
21,0.021000,2968061.450174,0.000000,2968061.450174,1.370529e-03,-871.884281,-1151.105129,742.985796,2.031,12.304,0.196
22,0.022000,2968259.245201,0.000000,2968259.245201,1.437261e-03,-872.537226,-1150.286616,742.253246,1.399,9.389,0.087
23,0.023000,2968460.684469,0.000000,2968460.684469,1.505223e-03,-873.190392,-1149.360898,741.534268,1.223,9.048,0.100
24,0.024000,2968657.486600,0.000000,2968657.486600,1.571620e-03,-873.801281,-1148.334420,740.909773,1.267,8.487,0.090
25,0.025000,2968848.565266,0.000000,2968848.565266,1.636087e-03,-874.325096,-1147.224751,740.274173,1.219,9.005,0.092
26,0.026000,2969034.538491,0.000000,2969034.538491,1.698831e-03,-874.738525,-1146.102829,739.541468,1.221,8.255,0.102
27,0.027000,2969215.512751,0.000000,2969215.512751,1.759888e-03,-875.231806,-1145.050143,738.745308,1.300,8.551,0.087
28,0.028000,2969392.256047,0.000000,2969392.256047,1.819518e-03,-876.033802,-1143.962699,737.940906,1.269,8.653,0.100
29,0.029000,2969567.009255,0.000000,2969567.009255,1.878477e-03,-876.956009,-1142.826570,737.317695,1.226,10.799,0.106
30,0.030000,2969738.687661,0.000000,2969738.687661,1.936398e-03,-877.751580,-1141.718069,736.800413,1.265,9.016,0.087
31,0.031000,2969907.277804,0.000000,2969907.277804,1.993278e-03,-878.510378,-1140.602416,736.176006,1.217,8.299,0.088
32,0.032000,2970073.202371,0.000000,2970073.202371,2.049258e-03,-879.230620,-1139.564117,735.584558,1.548,8.273,0.348
33,0.033000,2970239.924262,0.000000,2970239.924262,2.105506e-03,-879.825573,-1138.551949,735.234538,1.248,8.470,0.100
34,0.034000,2970409.294777,0.000000,2970409.294777,2.162649e-03,-880.336472,-1137.475564,734.981796,1.592,8.575,0.139
35,0.035000,2970577.581414,0.000000,2970577.581414,2.219426e-03,-880.891907,-1136.341207,734.583946,1.256,8.450,0.095
36,0.036000,2970745.805200,0.000000,2970745.805200,2.276182e-03,-881.468909,-1135.092324,734.244326,1.240,8.441,0.114
37,0.037000,2970912.960166,0.000000,2970912.960166,2.332577e-03,-882.055085,-1133.768816,734.047632,1.280,8.678,0.098
38,0.038000,2971078.094148,0.000000,2971078.094148,2.388290e-03,-882.768054,-1132.433259,733.757176,1.451,8.601,0.122
39,0.039000,2971245.164824,0.000000,2971245.164824,2.444657e-03,-883.573247,-1130.965811,733.437124,1.288,8.422,0.097
40,0.040000,2971416.123567,0.000000,2971416.123567,2.502335e-03,-884.332327,-1129.427047,733.221484,1.271,8.375,0.113
41,0.041000,2971587.896597,0.000000,2971587.896597,2.560288e-03,-884.947681,-1127.979448,733.019383,1.220,8.268,0.085
42,0.042000,2971757.813076,0.000000,2971757.813076,2.617615e-03,-885.513916,-1126.630117,732.821514,1.232,8.656,0.093
43,0.043000,2971928.593675,0.000000,2971928.593675,2.675233e-03,-886.060311,-1125.241279,732.616819,1.280,8.428,0.096
44,0.044000,2972100.321219,0.000000,2972100.321219,2.733171e-03,-886.666476,-1123.927153,732.341036,1.206,8.555,1.206
45,0.045000,2972271.462864,0.000000,2972271.462864,2.790911e-03,-887.439066,-1122.742523,731.965500,1.230,8.386,0.086
46,0.046000,2972441.623091,0.000000,2972441.623091,2.848320e-03,-888.336480,-1121.417912,731.599979,1.261,8.394,0.083
47,0.047000,2972606.251368,0.000000,2972606.251368,2.903863e-03,-889.330471,-1120.026945,731.483445,1.552,8.461,0.581
48,0.048000,2972769.418230,0.000000,2972769.418230,2.958912e-03,-890.380573,-1118.625019,731.470278,1.223,8.455,0.104
49,0.049000,2972933.885708,0.000000,2972933.885708,3.014401e-03,-891.424840,-1117.092950,731.396368,1.229,8.405,0.087
50,0.050000,2973093.727924,0.000000,2973093.727924,3.068328e-03,-892.421421,-1115.551098,731.239776,1.247,8.462,3.022
51,0.051000,2973251.147622,0.000000,2973251.147622,3.121439e-03,-893.288836,-1114.050730,731.056876,1.233,9.297,0.081
52,0.052000,2973407.177055,0.000000,2973407.177055,3.174081e-03,-894.004025,-1112.388331,730.934219,2.119,8.916,0.273
53,0.053000,2973557.924794,0.000000,2973557.924794,3.224940e-03,-894.623614,-1110.431574,730.731585,1.244,8.312,0.127
54,0.054000,2973705.367158,0.000000,2973705.367158,3.274685e-03,-895.184082,-1108.369497,730.498598,1.215,8.350,0.090
55,0.055000,2973851.065686,0.000000,2973851.065686,3.323841e-03,-895.793840,-1106.385983,730.298471,1.292,8.281,0.083
56,0.056000,2973993.823924,0.000000,2973993.823924,3.372005e-03,-896.454802,-1104.467635,730.045458,1.236,8.280,0.092
57,0.057000,2974134.673595,0.000000,2974134.673595,3.419525e-03,-897.176271,-1102.532830,729.874845,1.289,8.591,0.099
58,0.058000,2974271.604166,0.000000,2974271.604166,3.465723e-03,-897.947267,-1100.556108,729.710823,1.257,10.297,0.135
59,0.059000,2974402.333864,0.000000,2974402.333864,3.509829e-03,-898.594286,-1098.546994,729.528236,1.272,8.466,0.097
60,0.060000,2974528.615329,0.000000,2974528.615329,3.552434e-03,-899.084162,-1096.547163,729.369250,1.478,8.310,0.387
61,0.061000,2974651.792089,0.000000,2974651.792089,3.593991e-03,-899.478065,-1094.663048,729.086225,1.218,8.329,0.081
62,0.062000,2974771.785375,0.000000,2974771.785375,3.634475e-03,-899.745649,-1092.839163,728.812189,1.247,8.396,0.118
63,0.063000,2974893.289932,0.000000,2974893.289932,3.675468e-03,-899.943027,-1091.018076,728.624030,1.261,8.403,0.099
64,0.064000,2975016.341842,0.000000,2975016.341842,3.716984e-03,-900.098169,-1089.249176,728.292729,1.244,8.458,0.089
65,0.065000,2975134.392694,0.000000,2975134.392694,3.756812e-03,-900.178247,-1087.654088,727.665363,1.228,8.440,0.088
66,0.066000,2975246.656554,0.000000,2975246.656554,3.794688e-03,-900.252879,-1086.289203,726.870250,1.255,8.383,0.081
67,0.067000,2975351.079771,0.000000,2975351.079771,3.829918e-03,-900.390873,-1085.040208,726.074914,1.218,8.390,0.087
68,0.068000,2975450.319561,0.000000,2975450.319561,3.863400e-03,-900.548813,-1083.893317,725.385028,1.243,8.390,0.102
69,0.069000,2975550.526551,0.000000,2975550.526551,3.897208e-03,-900.689204,-1082.618363,724.702698,1.226,8.381,0.084
70,0.070000,2975652.824592,0.000000,2975652.824592,3.931722e-03,-900.827952,-1081.222955,723.886418,1.241,8.301,0.117
71,0.071000,2975755.472994,0.000000,2975755.472994,3.966353e-03,-900.909730,-1079.903319,723.051107,1.215,8.282,0.083
72,0.072000,2975855.721605,0.000000,2975855.721605,4.000175e-03,-900.991883,-1078.659228,722.313229,1.216,8.652,0.087
73,0.073000,2975956.515235,0.000000,2975956.515235,4.034181e-03,-901.215166,-1077.375942,721.443247,1.322,8.642,0.092
