step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,2963906.031071,0.000000,2963906.031071,0.000000e+00,-859.049039,-1173.009834,758.778446,32.594,1.786,0.030
2,0.002000,2963906.031071,0.000000,2963906.031071,9.960817e-14,-859.049041,-1173.009830,758.778401,2.531,0.310,0.041
3,0.003000,2963906.031072,0.000000,2963906.031072,2.020443e-13,-859.049042,-1173.009827,758.778355,1.942,0.537,0.044
4,0.004000,2963906.031072,0.000000,2963906.031072,3.223911e-13,-859.049043,-1173.009824,758.778310,1.804,0.832,0.132
5,0.005000,2963906.031072,0.000000,2963906.031072,4.724318e-13,-859.049044,-1173.009820,758.778265,1.462,0.326,0.091
6,0.006000,2963906.031073,0.000000,2963906.031073,6.402260e-13,-859.049045,-1173.009817,758.778219,1.303,0.376,0.038
7,0.007000,2963906.031073,0.000000,2963906.031073,8.075489e-13,-859.049047,-1173.009813,758.778174,1.246,0.429,0.038
8,0.008000,2963906.031074,0.000000,2963906.031074,9.786424e-13,-859.049048,-1173.009810,758.778128,1.399,0.922,0.102
9,0.009000,2963906.031074,0.000000,2963906.031074,1.154763e-12,-859.049049,-1173.009807,758.778083,1.638,0.239,0.238
10,0.010000,2963906.031075,0.000000,2963906.031075,1.318630e-12,-859.049051,-1173.009803,758.778038,1.231,0.593,0.029
11,0.011000,2963906.031075,0.000000,2963906.031075,1.468199e-12,-859.049052,-1173.009800,758.777993,1.185,0.338,0.047
12,0.012000,2963906.031076,0.000000,2963906.031076,1.620597e-12,-859.049053,-1173.009796,758.777947,1.253,0.257,0.057
13,0.013000,2963906.031076,0.000000,2963906.031076,1.773937e-12,-859.049054,-1173.009793,758.777902,2.469,0.312,0.115
14,0.014000,2963906.031077,0.000000,2963906.031077,1.912037e-12,-859.049056,-1173.009790,758.777857,1.393,0.324,0.041
15,0.015000,2963906.031077,0.000000,2963906.031077,2.033955e-12,-859.049057,-1173.009786,758.777812,1.190,0.240,0.045
16,0.016000,2963906.031077,0.000000,2963906.031077,2.152416e-12,-859.049058,-1173.009783,758.777767,3.022,1.004,0.104
17,0.017000,2963906.031078,0.000000,2963906.031078,2.275591e-12,-859.049060,-1173.009779,758.777721,1.110,0.384,0.057
18,0.018000,2963906.031078,0.000000,2963906.031078,2.396723e-12,-859.049061,-1173.009776,758.777676,1.392,0.364,0.047
