N,pass,mean_ms,std_ms,ci95_ms,cv
1000,bbox,1.7503,1.2709,0.2522,0.7261
1000,morton,1.2625,0.0535,0.0106,0.0423
1000,radix_sort,2.6815,1.1210,0.2224,0.4181
1000,karras,1.3012,0.1779,0.0353,0.1367
1000,leaf_init,1.2792,0.0164,0.0033,0.0128
1000,aggregate,1.2740,0.0324,0.0064,0.0254
5000,bbox,4.1508,3.6449,0.7232,0.8781
5000,morton,2.7610,2.0486,0.4065,0.7420
5000,radix_sort,19.5587,14.3939,2.8561,0.7359
5000,karras,1.9205,1.9058,0.3781,0.9923
5000,leaf_init,1.7659,1.8389,0.3649,1.0413
5000,aggregate,2.2529,2.2798,0.4524,1.0119
10000,bbox,4.6312,3.1682,0.6286,0.6841
10000,morton,3.6404,2.7105,0.5378,0.7446
10000,radix_sort,10.4239,6.4200,1.2739,0.6159
10000,karras,3.0175,2.2448,0.4454,0.7439
10000,leaf_init,2.6045,1.9083,0.3786,0.7327
10000,aggregate,2.8800,2.5897,0.5139,0.8992
50000,bbox,6.7826,3.2215,0.6392,0.4750
50000,morton,5.7698,2.9732,0.5899,0.5153
50000,radix_sort,8.7938,2.9221,0.5798,0.3323
50000,karras,6.3092,3.0256,0.6003,0.4796
50000,leaf_init,6.4322,3.0120,0.5977,0.4683
50000,aggregate,6.2228,3.2375,0.6424,0.5203
100000,bbox,2.2568,2.5986,0.5156,1.1515
100000,morton,1.7968,1.6695,0.3313,0.9291
100000,radix_sort,13.4824,29.4333,5.8402,2.1831
100000,karras,1.9724,2.2148,0.4395,1.1229
100000,leaf_init,1.8150,2.3028,0.4569,1.2688
100000,aggregate,1.8474,2.4532,0.4868,1.3279
