N,component,mean_ms,std_ms,ci95_ms,cv
1000,tree_build,0.2601,0.0637,0.0126,0.2450
1000,force,5.4958,0.9022,0.1790,0.1642
1000,integrate,0.0307,0.0124,0.0025,0.4050
1000,total,5.7866,0.9256,0.1837,0.1600
5000,tree_build,0.2528,0.0289,0.0057,0.1141
5000,force,9.6142,2.9864,0.5926,0.3106
5000,integrate,0.0264,0.0063,0.0012,0.2377
5000,total,9.8933,2.9912,0.5935,0.3023
10000,tree_build,0.2165,0.0202,0.0040,0.0934
10000,force,11.0183,2.1627,0.4291,0.1963
10000,integrate,0.0210,0.0037,0.0007,0.1743
10000,total,11.2558,2.1742,0.4314,0.1932
50000,tree_build,0.3153,0.0854,0.0169,0.2707
50000,force,109.2029,21.7734,4.3203,0.1994
50000,integrate,0.0312,0.0132,0.0026,0.4236
50000,total,109.5493,21.7488,4.3154,0.1985
100000,tree_build,0.5729,0.3444,0.0683,0.6012
100000,force,395.5162,56.6681,11.2442,0.1433
100000,integrate,0.1053,0.0812,0.0161,0.7711
100000,total,396.1943,56.6497,11.2405,0.1430
